2026-05-14 11:36:22 | INFO | src.config | run=7d3d6a61 | Logging configured | level=INFO file=logs\ma_rag_20260514_113622.log run_id=7d3d6a61
2026-05-14 11:36:22 | INFO | __main__ | run=7d3d6a61 | Initializing workflow for single-question test...
2026-05-14 11:40:37 | INFO | src.nodes.conflict_analysis | run=7d3d6a61 | NLI_DEBUG {"pmid": "35273009", "claim_text": "Medications are a common cause of AKI", "hypothesis": "For a patient with population '61-year-old man with type 2 diabetes mellitus, osteoarthritis, and recent cardiac catheterization with stenting for unstable angina, presenting with decreased urinary output, malaise, and purplish discoloration of the feet.', intervention 'Evaluation of symptoms and laboratory findings, including renal biopsy showing intravascular spindle-shaped vacuoles.', and outcome 'Most likely cause of the patient's symptoms.', the most likely diagnosis is Drug-Induced Thrombotic Microangiopathy.", "nli_raw_probs": {"ENTAILMENT": 0.0003, "NEUTRAL": 0.0039, "CONTRADICTION": 0.9959}, "nli_label": "CONTRADICTION", "nli_confidence": 0.996, "computed_stance": -0.996, "claim_confidence": 0.52}
2026-05-14 11:42:00 | INFO | src.nodes.conflict_analysis | run=7d3d6a61 | Conflict Analysis complete | best=Sepsis with Acute Kidney Injury score=-0.910 state=CONTESTED shift=False
2026-05-14 11:42:00 | INFO | src.nodes.uncertainty_propagation | run=7d3d6a61 | Uncertainty Propagation Input: 3 items
2026-05-14 11:42:00 | INFO | src.epistemic.dempster_shafer | run=7d3d6a61 | DempsterShaferIntegrator initialised: gamma=0.90, k_threshold=0.50, k_abstain=0.80, conflict_scaling=4.0, refine_discount=0.70
2026-05-14 11:42:00 | INFO | src.epistemic.epistemic_state_classifier | run=7d3d6a61 | EpistemicStateClassifier initialised: falsified_bf_min=0.60, falsified_bt_max=0.10
2026-05-14 11:42:00 | INFO | src.epistemic.calibrated_abstention | run=7d3d6a61 | CalibratedAbstention initialised: k_abstain=0.80, full_belief_min=0.70, min_belief=0.10, qualified_conflict_max=0.50
2026-05-14 11:42:00 | INFO | src.nodes.uncertainty_propagation | run=7d3d6a61 | Fusing evidence pool: 3 items
2026-05-14 11:42:00 | INFO | src.nodes.uncertainty_propagation | run=7d3d6a61 | Item 35273009 Mass: True=0.000, False=0.000, U=1.000 (Stance=EvidenceStance.NEUTRAL)
2026-05-14 11:42:00 | INFO | src.nodes.uncertainty_propagation | run=7d3d6a61 | Item 34051308 Mass: True=0.000, False=0.000, U=1.000 (Stance=EvidenceStance.NEUTRAL)
2026-05-14 11:42:00 | INFO | src.nodes.uncertainty_propagation | run=7d3d6a61 | Item 34972976 Mass: True=0.000, False=0.000, U=1.000 (Stance=EvidenceStance.NEUTRAL)
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | 
================================================================================
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | WORKFLOW EXECUTION COMPLETED
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | ================================================================================

2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | Final State Summary:
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   original_question: Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pect
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   final_reasoning: 
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   candidate_answer: ## ABSTAINED

**Rationale**: Insufficient high-quality evidence available to form a conclusion.

Evi
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   epistemic_state: CONTROVERSIAL
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | 
================================================================================
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | VALIDATION METRICS
