2026-05-13 15:16:28 | INFO | src.config | run=89c965b9 | Logging configured | level=INFO file=logs\ma_rag_20260513_151628.log run_id=89c965b9
2026-05-13 15:16:28 | INFO | __main__ | run=89c965b9 | Initializing workflow for single-question test...
2026-05-13 15:17:19 | INFO | src.pubmed_client | run=89c965b9 | eFetch complete
2026-05-13 15:17:19 | INFO | src.pubmed_client | run=89c965b9 | Filtering complete
2026-05-13 15:17:19 | INFO | src.pubmed_client | run=89c965b9 | Validation complete
2026-05-13 15:17:19 | INFO | src.pubmed_client | run=89c965b9 | Search metadata completeness
2026-05-13 15:17:19 | INFO | src.pubmed_client | run=89c965b9 | Search pipeline complete
2026-05-13 15:17:19 | INFO | src.pubmed_client | run=89c965b9 | Starting search pipeline with query: "Intervention is not supported" AND (diabetes mellitus OR osteoarthritis OR naproxen OR unrelated to procedure) AND (acute kidney injury OR elevated creatinine OR decreased urinary output OR reticulat
2026-05-13 15:17:19 | INFO | src.pubmed_client | run=89c965b9 | eSearch: "Intervention is not supported" AND (diabetes mellitus OR osteoarthritis OR naproxen OR unrelated to procedure) AND (acute kidney injury OR elevated creatinine OR decreased urinary output OR reticulat
2026-05-13 15:17:22 | INFO | src.pubmed_client | run=89c965b9 | eSearch complete
2026-05-13 15:17:22 | INFO | src.pubmed_client | run=89c965b9 | eFetch
2026-05-13 15:17:24 | INFO | src.pubmed_client | run=89c965b9 | eFetch complete
2026-05-13 15:17:24 | INFO | src.pubmed_client | run=89c965b9 | Filtering complete
2026-05-13 15:17:24 | INFO | src.pubmed_client | run=89c965b9 | Validation complete
2026-05-13 15:17:24 | INFO | src.pubmed_client | run=89c965b9 | Search metadata completeness
2026-05-13 15:17:24 | INFO | src.pubmed_client | run=89c965b9 | Search pipeline complete
2026-05-13 15:17:24 | INFO | src.pubmed_client | run=89c965b9 | Starting search pipeline with query: "Intervention is not supported" AND (procedure-related complication OR contrast-induced nephropathy OR drug-induced hypersensitivity OR normal renal function after intervention)
2026-05-13 15:17:24 | INFO | src.pubmed_client | run=89c965b9 | eSearch: "Intervention is not supported" AND (procedure-related complication OR contrast-induced nephropathy OR drug-induced hypersensitivity OR normal renal function after intervention)
2026-05-13 15:17:26 | INFO | src.pubmed_client | run=89c965b9 | eSearch complete
2026-05-13 15:17:26 | INFO | src.pubmed_client | run=89c965b9 | eFetch
2026-05-13 15:17:27 | INFO | src.pubmed_client | run=89c965b9 | eFetch complete
2026-05-13 15:17:27 | INFO | src.pubmed_client | run=89c965b9 | Filtering complete
2026-05-13 15:17:27 | INFO | src.pubmed_client | run=89c965b9 | Validation complete
2026-05-13 15:17:27 | INFO | src.pubmed_client | run=89c965b9 | Search metadata completeness
2026-05-13 15:17:27 | INFO | src.pubmed_client | run=89c965b9 | Search pipeline complete
2026-05-13 15:17:27 | INFO | src.core.registry | run=89c965b9 | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 15:17:27 | INFO | src.core.registry | run=89c965b9 | Embedding device selected | device=cpu cuda_available=False
