2026-05-13 06:56:06 | INFO | src.config | run=32f0723a | Logging configured | level=INFO file=logs\ma_rag_20260513_065606.log run_id=32f0723a
2026-05-13 06:56:06 | INFO | __main__ | run=32f0723a | Initializing workflow for single-question test...
2026-05-13 06:57:35 | INFO | src.pubmed_client | run=32f0723a | eSearch: "Dengue Fever" AND (thrombocytopenia OR leukopenia OR fever OR "body aches" OR headache) AND "complication" AND "uncomplicated"
2026-05-13 06:57:37 | INFO | src.pubmed_client | run=32f0723a | eSearch complete
2026-05-13 06:57:37 | INFO | src.pubmed_client | run=32f0723a | eFetch
2026-05-13 06:57:38 | INFO | src.pubmed_client | run=32f0723a | eFetch complete
2026-05-13 06:57:38 | INFO | src.pubmed_client | run=32f0723a | Filtering complete
2026-05-13 06:57:38 | INFO | src.pubmed_client | run=32f0723a | Validation complete
2026-05-13 06:57:38 | INFO | src.pubmed_client | run=32f0723a | Search metadata completeness
2026-05-13 06:57:38 | INFO | src.pubmed_client | run=32f0723a | Search pipeline complete
2026-05-13 06:57:38 | INFO | src.pubmed_client | run=32f0723a | Starting search pipeline with query: "Dengue Fever" AND (severe thrombocytopenia OR significant leukopenia OR "high fever" OR "severe body aches" OR "severe headache") AND "complication" AND "severe"
2026-05-13 06:57:38 | INFO | src.pubmed_client | run=32f0723a | eSearch: "Dengue Fever" AND (severe thrombocytopenia OR significant leukopenia OR "high fever" OR "severe body aches" OR "severe headache") AND "complication" AND "severe"
2026-05-13 06:57:40 | INFO | src.pubmed_client | run=32f0723a | eSearch complete
2026-05-13 06:57:40 | INFO | src.pubmed_client | run=32f0723a | eFetch
2026-05-13 06:57:41 | INFO | src.pubmed_client | run=32f0723a | eFetch complete
2026-05-13 06:57:41 | INFO | src.pubmed_client | run=32f0723a | Filtering complete
2026-05-13 06:57:41 | INFO | src.pubmed_client | run=32f0723a | Validation complete
2026-05-13 06:57:41 | INFO | src.pubmed_client | run=32f0723a | Search metadata completeness
2026-05-13 06:57:41 | INFO | src.pubmed_client | run=32f0723a | Search pipeline complete
2026-05-13 06:57:41 | INFO | src.core.registry | run=32f0723a | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 06:57:41 | INFO | src.core.registry | run=32f0723a | Embedding device selected | device=cpu cuda_available=False
2026-05-13 06:58:28 | WARNING | tensorflow | run=32f0723a | From D:\dialetic_rag\env\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-05-13 06:58:30 | INFO | src.core.registry | run=32f0723a | Embedding model selected | backend=sentence-transformers model=all-MiniLM-L6-v2 device=cpu
2026-05-13 06:58:30 | INFO | sentence_transformers.SentenceTransformer | run=32f0723a | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 06:58:41 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 37547170: Design=StudyDesign.OTHER, N=1, P-val=False, RPS=0.16, Apps=0.32
2026-05-13 06:58:43 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 30575425: Design=StudyDesign.OTHER, N=None, P-val=True, RPS=0.28, Apps=0.31
2026-05-13 06:58:44 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 36579820: Design=StudyDesign.SYSTEMATIC_REVIEW, N=None, P-val=False, RPS=0.48, Apps=0.32
2026-05-13 06:58:46 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 36658757: Design=StudyDesign.OTHER, N=None, P-val=False, RPS=0.16, Apps=0.30
2026-05-13 06:58:48 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 41086802: Design=StudyDesign.SYSTEMATIC_REVIEW, N=None, P-val=False, RPS=0.48, Apps=0.30
2026-05-13 06:58:49 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 31031376: Design=StudyDesign.OTHER, N=2416, P-val=False, RPS=0.36, Apps=0.30
2026-05-13 06:58:50 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 37259116: Design=StudyDesign.OTHER, N=1, P-val=False, RPS=0.16, Apps=0.33
2026-05-13 06:58:51 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 34781261: Design=StudyDesign.OTHER, N=1, P-val=False, RPS=0.16, Apps=0.30
2026-05-13 06:58:52 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 32372748: Design=StudyDesign.OTHER, N=1, P-val=False, RPS=0.16, Apps=0.30
2026-05-13 06:58:53 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 32762676: Design=StudyDesign.OTHER, N=1, P-val=False, RPS=0.16, Apps=0.31
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Scored PMID 35644613: Design=StudyDesign.OTHER, N=1, P-val=False, RPS=0.16, Apps=0.30
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 37547170: RPS 0.16 < 0.3
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 30575425: RPS 0.28 < 0.3
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 36658757: RPS 0.16 < 0.3
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 37259116: RPS 0.16 < 0.3
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 34781261: RPS 0.16 < 0.3
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 32372748: RPS 0.16 < 0.3
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 32762676: RPS 0.16 < 0.3
2026-05-13 06:58:54 | INFO | src.nodes.epistemic_scoring | run=32f0723a | Dropped PMID 35644613: RPS 0.16 < 0.3
2026-05-13 06:58:54 | INFO | src.core.registry | run=32f0723a | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 06:58:57 | INFO | src.nodes.claim_clustering | run=32f0723a | Extracted 17 claims from PMID 36579820
2026-05-13 06:59:07 | INFO | src.nodes.claim_clustering | run=32f0723a | Extracted 40 claims from PMID 41086802
2026-05-13 06:59:11 | INFO | src.nodes.claim_clustering | run=32f0723a | Extracted 20 claims from PMID 31031376
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 0: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 1: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 2: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 3: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 4: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 5: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 6: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 7: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 8: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 9: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 10: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 11: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 12: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 13: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 14: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 15: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 16: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 17: 5 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 18: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 19: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 20: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 21: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 22: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 23: 3 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 24: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 25: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 26: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 27: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 28: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 29: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 30: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 31: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 32: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 33: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 34: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 35: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 36: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 37: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 38: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 39: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 40: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 41: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 42: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 43: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 44: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 45: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 46: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 47: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 48: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 49: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 50: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 51: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 52: 3 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 53: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 54: 2 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 55: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 56: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Cluster 57: 1 claims from 1 studies
2026-05-13 06:59:12 | INFO | src.nodes.claim_clustering | run=32f0723a | Skipping applicability refinement: missing patient_pico or claims
2026-05-13 06:59:12 | INFO | src.core.registry | run=32f0723a | Cross-encoder selected | backend=sentence-transformers model=cross-encoder/nli-deberta-v3-base device=cpu
2026-05-13 06:59:16 | INFO | src.core.registry | run=32f0723a | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 06:59:17 | INFO | src.nodes.conflict_analysis | run=32f0723a | Conflict Analysis: State=EpistemicState.SETTLED, ShiftDetected=False
2026-05-13 06:59:17 | INFO | src.nodes.uncertainty_propagation | run=32f0723a | Uncertainty Propagation Input: 3 items
2026-05-13 06:59:17 | INFO | src.nodes.uncertainty_propagation | run=32f0723a | Fusing evidence pool: 3 items
2026-05-13 06:59:17 | INFO | src.nodes.uncertainty_propagation | run=32f0723a | Item 36579820 Mass: True=0.000, False=0.000, U=1.000 (Stance=EvidenceStance.NEUTRAL)
2026-05-13 06:59:17 | INFO | src.nodes.uncertainty_propagation | run=32f0723a | Item 41086802 Mass: True=0.000, False=0.000, U=1.000 (Stance=EvidenceStance.NEUTRAL)
2026-05-13 06:59:17 | INFO | src.nodes.uncertainty_propagation | run=32f0723a | Item 31031376 Mass: True=0.000, False=0.000, U=1.000 (Stance=EvidenceStance.NEUTRAL)
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | 
================================================================================
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | WORKFLOW EXECUTION COMPLETED
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | ================================================================================

2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | Final State Summary:
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   original_question: A 45-year-old man with acute dengue fever presents with fever, body aches, and headache. His lab wor
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   final_reasoning: 
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   candidate_answer: ## ABSTAINED

**Rationale**: Insufficient high-quality evidence available to form a conclusion.

Evi
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   epistemic_state: NoneType
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | 
================================================================================
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | VALIDATION METRICS
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | ================================================================================

2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | Evidence Pool Size: 3 items
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | 
Claim Extraction & Clustering:
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   - Extracted claims: 77
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   - Claim clusters: 58
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   - Cluster sizes: min=1, max=5, avg=1.3
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   ✓ PASS: Populated claim_clusters
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | 
Trace Events: 4 events recorded
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   - claim_clustering: 1 events
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   - contrastive_retrieval: 1 events
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   - epistemic_scoring: 1 events
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a |   - pico_extraction: 1 events
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | 
Full trace saved to: results\test_single_question_20260513_065917.json
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | 
================================================================================
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | ✓ Single-question test completed successfully
2026-05-13 06:59:17 | INFO | __main__ | run=32f0723a | ================================================================================

